name,reviews,rating,fulladdr,latitude,longitude,categories
Coccodè - Marano,20,4.5,Corso Europa. 191. 80016 Marano di Napoli NA,40.8981986,14.2024436,Chicken restaurant
Al Bistrot Food e Drink,20,4.3,Piazza Mercato. 270/273. 80133 Napoli NA,40.8472523,14.2648733,Italian restaurant
La Taverna Del Giglio Rosso,20,4.3,Via Emilio Scaglione. 293. 80145 Napoli NA,40.8867734,14.2275008,Restaurant.Italian restaurant.Pizza restaurant
Pub E Grill Montella,20,4,Via Carbonara. 34. 80139 Napoli NA,40.855064,14.2622352,Pub.Bar & grill
La Gaiola,21,4.4,Viale Virgilio. 1. 80123 Napoli NA,40.8030966,14.1862437,Restaurant.Park
LaSosta Srl,21,4,Via Nuova Poggioreale. 60. 80143 Napoli NA,40.8645935,14.286086,Restaurant.Italian restaurant
Pizza amore e fantasia,22,4.5,Via Giovanni Antonio Campano. 140. 80145 Napoli NA,40.8941459,14.2296989,Pizza restaurant
Gli Artigiani Del Palato,22,4.1,Piazzale Cesare Pavese. 21. 80018 Mugnano di Napoli NA,40.9016121,14.2114934,Fast food restaurant
#B&b € euro 15/20/25/40 Lillo - Stella NAPOLI economico NO uso Cucina. USE-DAY ad ore,22,4,Via Bernardo Tanucci. 24. 80137 Napoli NA,40.864705,14.267453,Bed & breakfast.Holiday home.Hotel.Serviced accommodation.Southern Italian restaurant
LeoPizza,22,2.8,Via Vincenzo Janfolla. 652/688. 80145 Napoli NA,40.8880472,14.248213,Restaurant
Serendib Restaurant,23,4.7,Via Santa Teresa degli Scalzi. 109. 80135 Napoli NA,40.856066,14.2482482,Sri Lankan restaurant
Bakery Burger,24,4.9,Piazza Salvatore di Giacomo. 80123 Napoli NA,40.8038833,14.2006343,Hamburger restaurant
E io pago - Trattoria Napoletana,25,4.4,Via Pasquale Leonardi Cattolica. 40/50. 80123 Napoli NA,40.8123988,14.1886627,Neapolitan restaurant.Restaurant
Black Out,25,4.2,Via Mario Palermo. 199. 80147 Napoli NA,40.8646417,14.3258225,Fast food restaurant
I Love Pizza,25,4,Viale Margherita. 53. 80147 Napoli NA,40.8580265,14.3300559,Pizza restaurant
Milos hamburgeria,26,5,Riviera di Chiaia. 83. 80122 Napoli NA,40.832767,14.226688,Hamburger restaurant.Delivery service.Fast food restaurant.Takeout restaurant.Restaurant
Da Nabil,26,4.7,Via Nuova Poggioreale. 187. 80143 Napoli NA,40.8586995,14.2747496,Sandwich shop
Sustanza,26,4.7,Galleria Principe di Napoli. 13. 80135 Napoli NA,40.8528225,14.2503706,Restaurant.Italian restaurant
Officina del Mare - Bun Lobster Oyster Cocktail Bar,26,4.4,Via Bisignano. 18. 80121 Napoli NA,40.8348179,14.240539,Seafood restaurant.Bistro
Samia Indian Bangla Restaurant,28,4.3,Via Santi Quaranta. 39. 80142 Napoli NA,40.8491934,14.2671654,Indian restaurant
Il Fornetto Di Botta Massimiliano,28,3.9,Piazza Salerno. 10. 80143 Napoli NA,40.8563957,14.2760168,Restaurant
Ristorante Giada,28,3.1,Via Nardones. 115. 80132 Napoli NA,40.8374039,14.2479429,Delivery Chinese restaurant.Asian restaurant.Chinese restaurant
Mad Food Expiriense,29,5,Corso Secondigliano. 3. 80144 Napoli NA,40.8827013,14.2710113,Sandwich shop
