 name, reviews, rating, fulladdr, latitude, longitude, categories, working_days, service_options
Via Marsala 33,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123367,9.5033536,Restaurant,Monday:Closed .Tuesday:11 AM–2:30 PM & 7–10:30 PM .Wednesday:11 AM–2:30 PM & 7–10:30 PM .Thursday:11 AM–2:30 PM & 7–10:30 PM .Friday:11 AM–2:30 PM & 7–10:30 PM .Saturday:11 AM–2:30 PM & 7–10:30 PM .Sunday:Closed ,Takeaway & Dine-in
Pizzeria Pucceria I Sapori Del Sole,not provided,not provided,Via Castelfidardo. 20. 26900 Lodi LO,45.3112904,9.5017231,Restaurant,not provided,Takeaway & Dine-in
Sant'Agnese Di Di Gregorio Francesca,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123112,9.503291,Pizza restaurant,not provided,Takeaway & Dine-in
Via Marsala 33,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123367,9.5033536,Restaurant,Monday:Closed .Tuesday:11 AM–2:30 PM & 7–10:30 PM .Wednesday:11 AM–2:30 PM & 7–10:30 PM .Thursday:11 AM–2:30 PM & 7–10:30 PM .Friday:11 AM–2:30 PM & 7–10:30 PM .Saturday:11 AM–2:30 PM & 7–10:30 PM .Sunday:Closed ,Takeaway & Dine-in
Pizzeria Pucceria I Sapori Del Sole,not provided,not provided,Via Castelfidardo. 20. 26900 Lodi LO,45.3112904,9.5017231,Restaurant,not provided,Takeaway & Dine-in
Sant'Agnese Di Di Gregorio Francesca,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123112,9.503291,Pizza restaurant,not provided,Takeaway & Dine-in
Via Marsala 33,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123367,9.5033536,Restaurant,Monday:Closed .Tuesday:11 AM–2:30 PM & 7–10:30 PM .Wednesday:11 AM–2:30 PM & 7–10:30 PM .Thursday:11 AM–2:30 PM & 7–10:30 PM .Friday:11 AM–2:30 PM & 7–10:30 PM .Saturday:11 AM–2:30 PM & 7–10:30 PM .Sunday:Closed ,Takeaway & Dine-in
Sant'Agnese Di Di Gregorio Francesca,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123112,9.503291,Pizza restaurant,not provided,Takeaway & Dine-in
Pizzeria Pucceria I Sapori Del Sole,not provided,not provided,Via Castelfidardo. 20. 26900 Lodi LO,45.3112904,9.5017231,Restaurant,not provided,Takeaway & Dine-in
Pausa Pranzo,not provided,not provided,Corso Giuseppe Mazzini. 96. 26900 Lodi LO,45.3046285,9.508812,Restaurant,not provided,Dine-in
Via Marsala 33,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123367,9.5033536,Restaurant,Monday:Closed .Tuesday:11 AM–2:30 PM & 7–10:30 PM .Wednesday:11 AM–2:30 PM & 7–10:30 PM .Thursday:11 AM–2:30 PM & 7–10:30 PM .Friday:11 AM–2:30 PM & 7–10:30 PM .Saturday:11 AM–2:30 PM & 7–10:30 PM .Sunday:Closed ,Takeaway & Dine-in
Pausa Pranzo,not provided,not provided,Corso Giuseppe Mazzini. 96. 26900 Lodi LO,45.3046285,9.508812,Restaurant,not provided,Dine-in
Pizzeria 26900,not provided,not provided,Via Giovanni Carnovali. 8. 26900 Lodi LO,45.3004785,9.516549,Restaurant,not provided,Takeaway & Dine-in
Pausa Pranzo,not provided,not provided,Corso Giuseppe Mazzini. 96. 26900 Lodi LO,45.3046285,9.508812,Restaurant,not provided,Dine-in
Pizzeria 26900,not provided,not provided,Via Giovanni Carnovali. 8. 26900 Lodi LO,45.3004785,9.516549,Restaurant,not provided,Takeaway & Dine-in
Pausa Pranzo,not provided,not provided,Corso Giuseppe Mazzini. 96. 26900 Lodi LO,45.3046285,9.508812,Restaurant,not provided,Dine-in
Pizzeria 26900,not provided,not provided,Via Giovanni Carnovali. 8. 26900 Lodi LO,45.3004785,9.516549,Restaurant,not provided,Takeaway & Dine-in
Pizzeria 26900,not provided,not provided,Via Giovanni Carnovali. 8. 26900 Lodi LO,45.3004785,9.516549,Restaurant,not provided,Takeaway & Dine-in
Pizzeria 26900,not provided,not provided,Via Giovanni Carnovali. 8. 26900 Lodi LO,45.3004785,9.516549,Restaurant,not provided,Takeaway & Dine-in
Pizzeria 26900,not provided,not provided,Via Giovanni Carnovali. 8. 26900 Lodi LO,45.3004785,9.516549,Restaurant,not provided,Takeaway & Dine-in
Pizza E Cucina,not provided,not provided,Viale Pavia. 26900 Lodi LO,45.3039921,9.488991,Restaurant,not provided,Takeaway & Dine-in
