name,reviews,rating,fulladdr,latitude,longitude,categories
Agua Bistrot,106,4,Piazza della Vittoria &. Via Beccaria. 27100 Pavia PV,45.1853236,9.1542559,Restaurant Magna
Scuderie del Borgo,109,4.5,Viale Bligny. 87. 27100 Pavia PV,45.1908421,9.1616528,Restaurant Magna
Haden Frullateria,117,4.5,Via Mascheroni. 49. 27100 Pavia PV,45.1865588,9.1536243,Health food store.Breakfast restaurant.Coffee shop.Fast food restaurant.Health food restaurant.Juice shop.Organic food store.Small plates restaurant.Vegan restaurant.Vegetarian restaurant Magna
Gold sushi bar,118,4.8,Corso Alessandro Manzoni. 106. 27100 Pavia PV,45.1875444,9.1427066,Asian restaurant Magna
Hamerica’s Pavia,119,4,Via Indipendenza. 4. 27100 Pavia PV,45.1927036,9.1561748,American restaurant Magna
I Love Poke - Pavia Carrefour,120,3.9,Strada vigentina ang. Via Lorenzo Cassani. 27100 Pavia PV,45.2050749,9.1723995,Restaurant Magna
Poke House - Pavia,121,4.2,Piazza della Vittoria. 11. 27100 Pavia PV,45.18569,9.154368,Poke bar.Açaí shop.Californian restaurant.Fast food restaurant.Fusion restaurant.Hawaiian restaurant.Health food restaurant.Takeout restaurant.Restaurant Magna
Pomodoro e basilico,124,4.3,Via S. Pietro in Verzolo. 21. 27100 Pavia PV,45.1804292,9.1833869,Restaurant Magna
Pizzeria la saporita,126,4.9,Via Parco Vecchio. 15. 27100 Pavia PV,45.1930513,9.1674382,Pizza takeaway Magna
Zero by planeat.eco,129,4.6,presso Horti. Lungo Ticino Sforza. 46. 27100 Pavia PV,45.1791491,9.1632694,Restaurant.Breakfast restaurant.Dog cafe.Espresso bar.Ice cream shop.Pizza restaurant.Small plates restaurant Magna
La Schiaccinoteca Toscana Pavia,132,4.7,Piazza Castello. 9. 27100 Pavia PV,45.1891315,9.1568367,Sandwich shop.Fast food restaurant Magna
I Love Poke,133,4.6,Corso Camillo Benso Cavour. 14d. 27100 Pavia PV,45.1858684,9.1527033,Fast food restaurant Magna
Cima on the road (ISTANBUL KEBAP),133,4.3,Via Jacopo Bossolaro. 14. 27100 Pavia PV,45.185419,9.1531375,Kebab shop Magna
GLASS bistrot con cucina,134,4.9,Via Antonio Bordoni. 6. 27100 Pavia PV,45.1854472,9.1561662,Bistro.Fish restaurant.Raw food restaurant.Vegetarian restaurant.Wine club Magna
Bar Argentina,134,3.8,Viale Cremona. 149. 27100 Pavia PV,45.1776986,9.1989031,Bar Magna
Pollo & Friends,136,4.2,Via Vigentina. 19. 27100 Pavia PV,45.2048486,9.1725064,Chicken shop.Chicken restaurant Magna
Istanbul Kebap (Halal),137,4.4,S.da Nuova. 18. 27100 Pavia PV,45.1825618,9.1539138,Restaurant Magna
Fuoco e Farina,142,4.1,Viale Cremona. 152. 27100 Pavia PV,45.1785042,9.1943982,Pizza delivery.Kebab shop.Pizza restaurant Magna
Il 21 Ristorante a km zero,147,4.4,Via Jacopo Bossolaro. 25. 27100 Pavia PV,45.1853389,9.1529851,Restaurant Magna
Riviera 45...Ristorante pizzeria,159,4,Via Riviera. 45. 27100 Pavia PV,45.1881539,9.1389875,Restaurant.Italian restaurant.Pizza restaurant.Pizza takeaway Magna
HAIKKY Sushi & Noodle Bar Pavia,160,3.9,Corso Cairoli. 49. 27100 Pavia PV,45.188857,9.1607329,Sushi takeaway Magna
Ristorante Pizzeria San Marco,161,4.4,Via Luigi Robecchi Brichetti. 26. 27100 Pavia PV,45.1889138,9.1437766,Pizza restaurant.Italian restaurant.Seafood restaurant Magna
