name,reviews,rating,fulladdr,latitude,longitude,categories
Bitter,209,4.4,Via Camicia. 19. 29121 Piacenza PC,45.0544878,9.698268,Restaurant.Bistro.Cocktail bar.Wine bar Magna
La Piadineria,210,4.3,Via Cristoforo Colombo. 88/a. 29100 Piacenza PC,45.0449983,9.7096315,Fast food restaurant.Family restaurant.Health food restaurant.Italian restaurant.Takeout restaurant.Restaurant.Small plates restaurant.Traditional restaurant Magna
Marty's Gourmet,213,4.5,Via Giuseppe Beati. 51B. 29122 Piacenza PC,45.0363204,9.7027026,Pizza restaurant.Hamburger restaurant Magna
Ristorante Peppino,216,4.3,Via Scalabrini. 49/A. 29121 Piacenza PC,45.0483413,9.6993904,Restaurant.Italian restaurant.Seafood restaurant.Sicilian restaurant Magna
TAJ MAHAL,218,4.4,Viale Sant'Ambrogio. 39. 29121 Piacenza PC,45.0529314,9.7042017,Indian restaurant.Pakistani restaurant Magna
Scusate il ritardo,226,4.4,Corso Vittorio Emanuele II. 226. 29121 Piacenza PC,45.0475645,9.6871418,Pizza delivery.Beer hall.Pizza restaurant.Sandwich shop Magna
DNA Restaurant,243,4.5,Viale Malta. 10. 29121 Piacenza PC,45.0505305,9.6857795,Italian restaurant Magna
Cianci Bistrot - Piacenza,246,4.1,Piazza Duomo. 15/16. 29121 Piacenza PC,45.0511516,9.6972635,Bistro Magna
Vasinikò,248,4.2,Via S. Francesco D'Assisi. 15. 29121 Piacenza PC,45.0525513,9.6951739,Pizza restaurant Magna
Trattoria San Giovanni,260,4.2,Corso G.Garibaldi. 49. 29121 Piacenza PC,45.0523263,9.6911001,Restaurant.Italian restaurant Magna
Ristorante Castiglia,267,4.6,Via Giuseppe Verdi. 16/A. 29121 Piacenza PC,45.0505989,9.6923239,Restaurant.Italian restaurant.Seafood restaurant Magna
Don Teo,270,4.1,Via Roma. 164. 29121 Piacenza PC,45.049582,9.702059,Peruvian restaurant Magna
Chang - Cucina Cantonese e Sushi,271,4.4,Corso Vittorio Emanuele II. 179. 29121 Piacenza PC,45.049064,9.6889527,Cantonese restaurant.Sushi restaurant Magna
Madhouse,319,3.7,Via Luigi Bay. 46/48. 29121 Piacenza PC,45.046184,9.6632788,Restaurant Magna
Il Panino Gourmet,323,4.7,Vicolo S. Donnino. 30. 29121 Piacenza PC,45.0514128,9.6937485,Sandwich shop.Fast food restaurant Magna
Ristorante Pizzeria Tesoro,325,3.7,Via la Primogenita. 1/3. 29100 Piacenza PC,45.0509735,9.7054074,Pizza restaurant.Chinese restaurant.Italian restaurant.Restaurant Magna
Taberna Movida,354,4.2,Via Francesco Daveri. 8. 29121 Piacenza PC,45.0515281,9.6978715,Spanish restaurant Magna
Trattoria G.Lupi,354,4.5,Via Taverna Giuseppe. 137. 29121 Piacenza PC,45.0542347,9.6810728,Restaurant.Italian restaurant Magna
Zelig,364,4.5,Via Pietro Cella. 51. 29121 Piacenza PC,45.0448243,9.6737999,Pizza restaurant Magna
Walker Burger,408,4.4,Via Marinai d'Italia 12. Galleria del Sole. 41. 29122 Piacenza PC,45.0375006,9.7144162,Hamburger restaurant.Fast food restaurant Magna
Sottomura,416,4.1,Viale Pubblico Passeggio. 29121 Piacenza PC,45.0464514,9.6877804,Pizza restaurant.Bar & grill Magna
Osteria La Trappola,420,4.6,Via Del Castello. 14. 29121 Piacenza PC,45.0534957,9.6886257,Restaurant.Italian restaurant Magna
Antica Sosta Dei Cavalli,433,4.5,Via 24 Maggio. 88. 29121 Piacenza PC,45.0508565,9.6769999,Restaurant.Italian restaurant Magna
Ristorante Vecchia Piacenza,456,4.4,C. S. Bernardo. 1. 29121 Piacenza PC,45.0539163,9.6863043,Restaurant.Italian restaurant Magna
Sosushi Plus,461,4.6,Corso Vittorio Emanuele II. 229. 29121 Piacenza PC,45.0483181,9.6879519,Sushi restaurant.Japanese restaurant.Ramen restaurant.Seafood restaurant Magna
Le Caravelle,463,4.3,Via Cristoforo Colombo. 91. 29122 Piacenza PC,45.0422622,9.7147609,Pizza restaurant.Italian restaurant Magna
Trattoria dell'Orologio,467,3.6,Piazza Duomo. 36. 29121 Piacenza PC,45.0504313,9.6968816,Italian restaurant Magna
China Town,475,4.3,Via IV Novembre. 4. 29122 Piacenza PC,45.0434611,9.7006789,Chinese restaurant.Japanese restaurant.Restaurant.Sushi restaurant Magna
Kzero,481,4.5,Via Radini - Tedeschi. 72. 29122 Piacenza PC,45.0350851,9.7130721,Restaurant Magna
Marechiaro,482,4.3,Corso Vittorio Emanuele II. 168. 29121 Piacenza PC,45.0482942,9.6881938,Restaurant.Diner Magna
Osteria Tre Angeli,486,4.4,Piazzale Velleia. 29122 Piacenza PC,45.0448607,9.7055838,Restaurant.Gluten-free restaurant.Seafood restaurant Magna
Tigellabella Piacenza,497,4.3,Via Gerolamo Illica. 5. 29121 Piacenza PC,45.0525323,9.6918851,Restaurant Magna
Gaia Ristorante,501,4.4,Via Rodolfo Boselli. 79. 29122 Piacenza PC,45.0358314,9.7020834,Restaurant.Cafe.Cafeteria.Italian restaurant Magna
Osteria del Passatempo,522,4.5,Via 24 Maggio. 104. 29121 Piacenza PC,45.0519904,9.6768555,Seafood restaurant.Italian restaurant Magna
De Gustibus River,542,4.2,Via Nino Bixio. 6. 29121 Piacenza PC,45.0578557,9.7008627,Restaurant.Pizza restaurant Magna
Food Love,546,4.6,Via Cesare Calciati. 4. 29122 Piacenza PC,45.0444623,9.7050794,Vegan restaurant Magna
la dispensa de i balocchi,551,4.4,Largo Pietro Gioia. 3. 29121 Piacenza PC,45.05395,9.6949028,Restaurant.Brunch restaurant.Food and drink.Seafood restaurant.Small plates restaurant Magna
Grotta Azzurra,571,4,Via Giacomo Morigi. 35. 29121 Piacenza PC,45.0470439,9.675972,Italian restaurant.Pizza restaurant.Pizza takeaway.Restaurant.Seafood restaurant Magna
Taverna In,584,3.9,Piazza Sant'Antonino. 8. 29121 Piacenza PC,45.0492518,9.6940864,Pizza restaurant Magna
Ristorante Pizzeria Charlie,593,4,Corso Vittorio Emanuele II. 222. 29121 Piacenza PC,45.0475902,9.6872663,Restaurant.Fish restaurant.Italian restaurant.Pizza restaurant Magna
Ristorante Arte&sapori,596,4.6,Via Rodolfo Boselli. 65. 29122 Piacenza PC,45.0356231,9.7006395,Italian restaurant.Seafood restaurant Magna
Panfé,617,3.7,Corso Vittorio Emanuele II. 40. 29121 Piacenza PC,45.0512267,9.6920908,Bakery.Bar.Coffee shop.Pizza restaurant Magna
Aris Café,618,4.2,Vicolo Bartolomeo Perestrello. 10. 29121 Piacenza PC,45.0521266,9.691995,Small plates restaurant.Bar Magna
El Tropico Latino,625,4.4,Via Giuseppe Mazzini. 77. 29121 Piacenza PC,45.0550665,9.6897982,Mexican restaurant.Restaurant Magna
Osvaldo,644,4.2,Galleria Borsa. 36. 29121 Piacenza PC,45.05305,9.6935,Pizza restaurant.Restaurant Magna
Osteria Antica Romea,650,4,Via Emilia Parmense. 29. 29122 Piacenza PC,45.038506,9.7205537,Restaurant.Italian restaurant Magna
Kisoro,656,4.3,Via Enrico Millo. 1. 29122 Piacenza PC,45.042881,9.7126388,Asian fusion restaurant.Japanese restaurant.Sushi restaurant Magna
Cristian Pizza Restaurant,687,3.9,Via IV Novembre. 115. 29122 Piacenza PC,45.0461911,9.687517,Pizza restaurant.Cocktail bar.Italian restaurant.Northern Italian restaurant.Pizza takeaway.Restaurant.Tea house Magna
Osteria del Trentino,690,4.5,Via Del Castello. 71. 29121 Piacenza PC,45.0528879,9.6851661,Restaurant.Italian restaurant Magna
da Luca,708,4.1,Corso Vittorio Emanuele II. 317. 29121 Piacenza PC,45.0476408,9.6867734,Restaurant.Bar.Pizza restaurant Magna
Osteria d'una Volta,725,4.5,Via S. Giovanni. 36. 29121 Piacenza PC,45.052007,9.689096,Restaurant Magna
La Muntà,750,4.3,Via Giuseppe Mazzini. 72. 29121 Piacenza PC,45.0558739,9.6883554,Restaurant.Banquet hall.Diner.Pub Magna
Commercio,760,4.4,Via Cristoforo Colombo. 118. 29122 Piacenza PC,45.0438798,9.7115714,Restaurant.Italian restaurant.Seafood restaurant Magna
Lo Fai,770,4.6,Via Cavalletto. 4. 29121 Piacenza PC,45.0526635,9.6914318,Vegan restaurant Magna
Taverna Rabarbaro,789,4.7,Piazza della Cittadella. 9. 29121 Piacenza PC,45.055275,9.6941324,Restaurant.Mediterranean restaurant Magna
La Piadineria,803,4.5,Via Chiapponi. 17/c. 29121 Piacenza PC,45.0502455,9.6960673,Fast food restaurant.Family restaurant.Health food restaurant.Italian restaurant.Takeout restaurant.Restaurant.Small plates restaurant Magna
Shamrock Cafè,809,4.4,Via Vittorio Gadolini. 48. 29122 Piacenza PC,45.0400756,9.6828922,Pub.American restaurant.Hamburger restaurant Magna
Tramonti,847,4.2,Via Emilia Pavese. 27. 29121 Piacenza PC,45.0545436,9.6729086,Pizza restaurant.Italian restaurant.Pizza delivery.Pizza takeaway.Restaurant.Seafood restaurant Magna
Tosello,854,4.5,Via Francesco Daveri. 10. 29121 Piacenza PC,45.051651,9.6980263,Pizza restaurant.Italian restaurant Magna
koi restaurant,895,3.9,Via Giuseppe Manfredi. 31. 29122 Piacenza PC,45.0413208,9.6835594,Japanese restaurant.Seafood restaurant.Sushi restaurant Magna
Eataly Piacenza,916,4.1,Stradone Farnese. 39. 29121 Piacenza PC,45.0471638,9.6948754,Italian restaurant.Culinary school.Grocery store.Italian grocery store.Wine bar Magna
Osteria della Balera,987,4.3,Via Legione Zanardi Landi. 18. 29121 Piacenza PC,45.0588309,9.6964604,Restaurant Magna
La Piadineria,1011,4.5,Via Martiri della Resistenza. 17. 29122 Piacenza PC,45.0349165,9.6884354,Fast food restaurant.Family restaurant.Health food restaurant.Italian restaurant.Takeout restaurant.Restaurant.Small plates restaurant.Traditional restaurant Magna
The Temple,1023,4.1,Via X Giugno. 98. 29121 Piacenza PC,45.0562277,9.6996959,Pizza restaurant.Beer hall.Hamburger restaurant.Pub.Restaurant Magna
Trattoria La Forchetta,1030,4.2,Via Borghetto. 1/L. 29121 Piacenza PC,45.0540566,9.6946219,Restaurant.Italian restaurant Magna
Food Amazing Ristorante,1054,4.3,Viale Malta. 10. 29121 Piacenza PC,45.0505525,9.6857029,Restaurant.Gluten-free restaurant.Health food restaurant.Italian restaurant.Lunch restaurant.Meat dish restaurant.Mediterranean restaurant.Modern European restaurant.Seafood restaurant.Vegetarian restaurant Magna
Tre Ganasce,1115,4.6,Via S. Bartolomeo. 62. 29121 Piacenza PC,45.0567402,9.6868957,Italian restaurant Magna
McDonald's,1129,3.6,Piazzale Guglielmo Marconi. snc. 29121 Piacenza PC,45.0512946,9.7059502,Fast food restaurant.Breakfast restaurant.Hamburger restaurant.Restaurant Magna
Trattoria Da Vittorio,1142,4.5,Via Camicia. 11. 29121 Piacenza PC,45.0545765,9.6979507,Italian restaurant Magna
Dubliners Irish Pub,1217,4.4,Via S. Siro. 24. 29121 Piacenza PC,45.0492573,9.6917187,Irish pub.Gastropub.Restaurant Magna
Nessie Pub,1226,4.2,Strada del Montecucco. 12. 29121 Piacenza PC,45.037721,9.6715214,Gastropub.Hamburger restaurant.Pizza restaurant Magna
Piacenza Osteria Carducci,1246,4.4,Via Giosuè Carducci. 6/B. 29121 Piacenza PC,45.0520401,9.6953573,Northern Italian restaurant.Italian restaurant Magna
Trattoria La Pireina,1405,4.5,Via Borghetto. 137. 29121 Piacenza PC,45.058041,9.689188,Restaurant.Italian restaurant Magna
Baciccia,1440,4.2,Via Padre Dionigi Carli. 7. 29122 Piacenza PC,45.0422127,9.7158596,Restaurant.Bar.Pizza restaurant.Pub Magna
Antica Trattoria Dell'Angelo,1445,4.4,Via Tibini. 14. 29121 Piacenza PC,45.0494728,9.7031755,Northern Italian restaurant Magna
Crudo Piacenza,1553,4.3,Via Alessandro Bolzoni. 17. 29122 Piacenza PC,45.0460212,9.7063563,Japanese restaurant.Fusion restaurant.Restaurant.Sushi restaurant Magna
Pizzium - Piacenza,1590,4.6,Viale Sant'Ambrogio. 6. 29121 Piacenza PC,45.0571112,9.7010698,Pizza restaurant Magna
Ristorante Alla Piazza Koya,2062,4.3,Via Antonio Emmanueli. 50-52. 29121 Piacenza PC,45.0475058,9.6744128,Sushi restaurant.Chinese restaurant.Japanese restaurant.Seafood restaurant Magna
Ustaria la Carrozza,2144,4.3,Via X Giugno. 122. 29121 Piacenza PC,45.056554,9.7008394,Restaurant.Italian restaurant Magna
Roadhouse,2187,3.8,Via Emilia Pavese. 65. 29100 Piacenza PC,45.0549469,9.6599932,Restaurant.Chophouse restaurant.Hamburger restaurant.Steak house Magna
Old Wild West,2237,3.9,Str. Farnesiana. 110. 29122 Piacenza PC,45.0341383,9.7118333,Steak house.Hamburger restaurant.Restaurant Magna
Burger King,2368,3.5,Viale Sant'Ambrogio. 25. 29121 Piacenza PC,45.0547968,9.7029879,Hamburger restaurant Magna
Bella Napoli Pizza Restaurant,2960,4.2,Via Emilia Pavese. 98. 29121 Piacenza PC,45.0543276,9.6688913,Pizza restaurant.Restaurant.Seafood restaurant Magna
Autogrill Trebbia Nord,9638,3.7,A21. 29121 Piacenza PC,45.06222,9.6521293,Restaurant.Bar.Bar tabac.Grocery store.Sandwich shop Magna
