name,reviews,rating,fulladdr,latitude,longitude,categories
PIZZA GIULIA la pizzeria del mercato Di Pierluigi Simeoni,32,4.9,Mercato rionale. Via Locke. snc. 00156 Roma RM,41.9340502,12.5560356,Pizza takeaway Magna
Al Cartoccio pizzeria & friggitoria,32,4.7,Viale Luigi Schiavonetti. 426. 00173 Roma RM,41.8406077,12.6224987,Fast food restaurant.Pizza restaurant.Seafood restaurant Magna
Friggitoria Artisti di Strada,32,4.7,Piazza Sempione. 24. 00141 Roma RM,41.9354188,12.53542,Restaurant.Takeout restaurant Magna
Pizzeria Bella Romana,32,3.4,Viale Raf Vallone. 55/57. 00173 Roma RM,41.8336217,12.5968303,Pizza restaurant Magna
Mini Pizza 22 cm,32,2.5,Via Aristide Merloni. 141. 00155 Roma RM,41.884164,12.6072131,Pizza restaurant Magna
Ri.ONE RoofTop Cocktail bar,33,4.9,P.za degli Zingari. 4. 00184 Roma RM,41.8955944,12.4929924,Cocktail bar.Espresso bar.Observation deck.Small plates restaurant Magna
Ci.Bo.,33,4.5,Viale Antonio Ciamarra. 264. 00173 Roma RM,41.8542793,12.5906433,Italian restaurant.Bar Magna
N'antra Storia,33,4.5,Via Achille Vertunni. 131. 00155 Roma RM,41.9100447,12.6109942,Pizza restaurant.Bar.Gastropub Magna
Oasi Poke,33,4.5,Via Carlo Arturo Jemolo. 311. 00156 Roma RM,41.9506978,12.5814789,Fusion restaurant.Japanese restaurant Magna
Le Delizie di Retrò Caffetteria Pasticceria,33,4.5,Via Tuscolana Vecchia. 72-74. 00044 Frascati RM,41.8223356,12.6393303,Pastry shop.Ice cream shop Magna
Pancit Filipino Restaurant,33,4.1,Via Farini. 50. 00185 Roma RM,41.8985344,12.4994211,Filipino restaurant Magna
"Ristorante Pizzeria ""P&P""",33,4,Via Attilio Benigni. 34. 00156 Roma RM,41.92945,12.5598236,Pizza restaurant.Restaurant Magna
Pieralice Mario,33,3.8,Viale di Tor di Quinto. 17. 00191 Roma RM,41.9372286,12.4672251,Pizza restaurant.Italian restaurant Magna
Saporino,34,4.8,Via Montichiari. 102. 00188 Roma RM,41.9918036,12.4802995,Restaurant.Bar.Fast food restaurant.Hamburger restaurant.Pizza restaurant.Small plates restaurant Magna
Mille Sapori,34,4.8,Via Giovanni Maria della Torre. 5. 00146 Roma RM,41.8639063,12.4714971,Pizza restaurant Magna
Sfilo - Ristorante CBT,34,4.7,Via Zaccanopoli. 7. 00173 Roma RM,41.8333998,12.5998222,Restaurant Magna
Cucchi Burgers - CC Roma Est,34,4.6,Via Collatina. 858. 00132 Roma RM,41.9151608,12.6608185,Fast food restaurant Magna
Metrō Gourmet Attitude,34,4.3,Via dei Ciclamini. 108. 00171 Roma RM,41.8922031,12.5658115,Fast food restaurant Magna
La Piadineria,34,4.3,Circonvallazione Ostiense. 345. 00154 Roma RM,41.8675106,12.4941572,Fast food restaurant.Family restaurant.Health food restaurant.Italian restaurant.Takeout restaurant.Restaurant.Vegetarian restaurant Magna
Taste of Bangladesh Halal Food,34,4.1,Via Daniele Manin. 4. 00185 Roma RM,41.9000031,12.500531,Bangladeshi restaurant Magna
Romana - Pizzeria di Casa,35,4.7,Via Egidio Galbani. 81. 00156 Roma RM,41.9314852,12.5603874,Pizza restaurant Magna
Belloverde Ristorante Pizzeria Bar,35,4.7,Via delle Vigne Nuove. 250. 00139 Roma RM,41.9519766,12.5366125,Restaurant.Bar.Cocktail bar.Pizza restaurant Magna
Enjoy Restaurant Cafè,35,4.5,Via Cristoforo Colombo. 1800. 00127 Roma RM,41.7929521,12.4294846,Restaurant.Espresso bar Magna
La Piadineria,35,4.3,Via Cassia. 905. 00189 Roma RM,41.9706678,12.434602,Fast food restaurant.Family restaurant.Health food restaurant.Italian restaurant.Takeout restaurant.Restaurant.Vegetarian restaurant Magna
La Piadineria,35,4.3,Via Torre di Mezzavia. 35. 00173 Roma RM,41.8372531,12.594254,Piadina restaurant Magna
Convivio Bistrot Wine bar,36,4.7,Viale Opita Oppio. 78. 00174 Roma RM,41.8608283,12.5498472,Restaurant.Bistro.Live music bar.Meat dish restaurant.Cocktail bar.Wine store Magna
La Tramontina Roma Appia,36,4.6,Piazza dell'Alberone. 21. 00181 Roma RM,41.8758159,12.5209522,Italian grocery store.Bistro.Dairy.Southern Italian restaurant Magna
Svago,36,4.5,Via Cimone. 49. 00141 Roma RM,41.9338746,12.5370581,Bistro.Cocktail bar.Wine bar Magna
Pizza Al Taglio 30 e Lode,36,4.1,Via Ostiense. 162/b. 00154 Roma RM,41.8628167,12.4796794,Pizza restaurant.Pizza delivery.Pizza takeaway Magna
Pizzeria il derby,37,4.5,Piazza Antonio Mancini. 1. 00196 Roma RM,41.9309296,12.4653435,Pizza restaurant Magna
Fracco,38,4.9,Via di Settebagni. 310. 00139 La Cinquina - Bufalotta RM,41.9671222,12.5466637,Roman restaurant.Takeout restaurant.Pizza delivery.Pizza restaurant.Southern Italian restaurant Magna
Bobo Food Ristorante cinese,38,4.8,Via dei Colli Albani. 23. 00179 Roma RM,41.8690891,12.5312527,Chinese restaurant.Chinese takeaway.Delivery Chinese restaurant.Restaurant Magna
MT Enogallery,38,4.6,Via Urbana. 131. 00184 Roma RM,41.896842,12.4944715,Restaurant Magna
Binario Food di Serfim S.r.l.,38,4.2,Via della Pineta Sacchetti. 00168 Roma RM,41.9279056,12.4269352,Restaurant Magna
Mama's Kitchen,38,3.1,Via Cavour. 254. 00184 Roma RM,41.8943845,12.4927375,Italian restaurant.Restaurant Magna
"Enoteca ""La Cantina XXIX"" Ponte Milvio",39,4.7,Piazzale di Ponte Milvio. 29. 00139 Roma RM,41.9378574,12.466065,Wine bar.Small plates restaurant.Wine store Magna
Tom Jerry Snc,39,4.5,Via di Tor Sapienza. 168. 00155 Roma RM,41.8968994,12.5915161,Restaurant.Bar Magna
Bar 2000,39,4.5,Via Monte Urano. 25. 00138 Roma RM,41.9841505,12.5140564,Bar.Cafe Magna
Vecchio Tevere,39,3.9,Lungotevere Grande Ammiraglio Thaon di Revel. 3. 00191 Roma RM,41.9320825,12.4629179,Italian restaurant.Bar Magna
Teano Pizza Kebab,40,4.9,Viale Partenope. 143. 00177 Roma RM,41.8898268,12.5515278,Pizza restaurant Magna
La Dolce Vita,40,4.5,Via Appia Nuova. 641/c. 00179 Roma RM,41.8669263,12.5308086,Pizza takeaway.Pizza restaurant Magna
L'Arte della Pizza - Cinecittà Est,40,4.2,Viale Antonio Ciamarra. 112. 00173 Roma RM,41.8500998,12.591558,Pizza takeaway.Hamburger restaurant Magna
Pizzeria Bar Tavola Calda,40,3.7,Viale Ignazio Silone. 120. 00143 Roma RM,41.8145183,12.4784686,Pizza restaurant.Bar Magna
Osteria del Curato,40,3.5,Via Tuscolana. 00184 Roma RM,41.8428185,12.5849777,Pizza restaurant.Restaurant Magna
Komos Talenti,41,4.8,Via Arturo Graf. 60. 00137 Roma RM,41.9436338,12.552874,Seafood restaurant Magna
BAR SILENO DI ALESSANDRO NICOLO',41,4.7,Via Sileno. 85. 00155 Roma RM,41.9112715,12.6073278,Bar.Cafe.Cafeteria.Espresso bar.Food court.Lottery retailer.Sports bar.Wi-Fi spot Magna
Piscarius,41,4.7,Via Bolognola. 66. 00138 Roma RM,41.9867542,12.5045351,Seafood restaurant Magna
Figo Street Food | Pranzi. Cene. Aperitivi Roma Nord,41,4.7,Via del Baiardo. 390. 00191 Roma RM,41.9477658,12.5002834,Small plates restaurant.Catering food and drink supplier.Caterer.Childrens party buffet.Fast food restaurant.Restaurant.Wedding venue Magna
L'Ora Della Pizza,41,4.6,Via Libero Leonardi. 00173 Roma RM,41.8488349,12.5918431,Pizza restaurant Magna
Art Gallery,41,4.5,Via Francesco Gai. 6/8. 00196 Roma RM,41.9316981,12.4654818,Bistro Magna
MareSità Ristorante & Pescheria,41,4.4,Via Enzo Benedetto. 47. 00173 Roma RM,41.8322934,12.5823849,Seafood restaurant Magna
