name,reviews,rating,fulladdr,latitude,longitude,categories
Ghe sem Cadore,35,4.2,Via Cadore. 31. 20135 Milano MI,45.4571538,9.2127326,Ristorante Magna
The Lounge Bar,35,4.2,Piazza della Repubblica. 20. 20124 Milano MI,45.4786802,9.1993331,Ristorante.Bar Magna
The Lounge Bar,35,4.2,Piazza della Repubblica. 20. 20124 Milano MI,45.4786802,9.1993331,Bar.Ristorante Magna
Wood,35,4,Via Tiziano. 19. 20145 Milano MI,45.47258,9.1584975,Ristorante Magna
Bar Tabacchi Il Picchio,35,3.9,Via Giuseppe Ripamonti. 13. 20136 Milano MI,45.4495332,9.1974067,Cafe.Bar tabac Magna
Pizzeria Trattoria San Giorgio,35,3.7,Via Losanna. 14. 20154 Milano MI,45.4853591,9.1632039,Pizza Ristorante.Kebab shop.Meal delivery.Pizza delivery Magna
Bar Piceno,36,4.5,Viale Piceno. 32. 20129 Milano MI,45.4653621,9.2176648,Bar Magna
Caffe Centrale Bocconi,36,4,Via Gian Carlo Castelbarco. 27. 20136 Milano MI,45.4473526,9.1872351,Bistro.Bar.Cafeteria Magna
Caffe Centrale Bocconi,36,4,Via Gian Carlo Castelbarco. 27. 20136 Milano MI,45.4473526,9.1872351,Bar.Bistro.Cafeteria Magna
Ichi Station,36,4,Via Solferino. 25. 20121 Milano MI,45.4780336,9.1879908,Sushi Ristorante.Giapponese Ristorante.Sushi takeaway Magna
Pizzeria dei 3 Amici,36,3.8,Via Varesina. 75. 20156 Milano MI,45.4979775,9.1447402,Pizza Ristorante Magna
Kintal - Cake & Coffee,37,4.9,Via Carlo Farini. 40. 20159 Milano MI,45.4902905,9.1836874,Coffee shop.Bakery.Brazilian pastelaria.Breakfast Ristorante.Cupcake shop.Sweets and dessert buffet.Dessert Ristorante.Espresso bar.Juice shop.Pastry shop Magna
Tina Maccheroni,37,4.8,V.le Bligny. 29. 20136 Milano MI,45.4510555,9.1934586,Fast food Ristorante Magna
Vintage Bar Picnic,37,4.7,Via Cesare Balbo. 12. 20136 Milano MI,45.4488578,9.1957111,Bar Magna
Pescatore Lobster Bar,37,4.6,Via Atto Vannucci. 5. 20135 Milano MI,45.4494879,9.198254,Ristorante.Seafood Ristorante Magna
Eat Restaurant,37,4.2,Via Quadronno. 29. 20122 Milano MI,45.4543502,9.1947661,Ristorante Magna
"IQOS PARTNER - ""No Name"" Bar Tabacchi. Milano",37,4.2,Viale di Porta Vercellina. 2. 20123 Milano MI,45.4656246,9.1654757,Bar tabac.Bus ticket agency.Coffee shop.Lottery shop Magna
The Bread Bin,37,4.1,Via Ausonio. 23. 20123 Milano MI,45.4580459,9.1720711,Bakery.Dessert shop Magna
Bastianello,37,3,Via Michelangelo Buonarroti. 48. 20145 Milano MI,45.472862,9.156092,Espresso bar.Cake shop.Chocolate shop.Ice cream shop.Small plates Ristorante Magna
Peter Pan Bakery Milano,38,4.9,Via Vigevano. 25. 20144 Milano MI,45.4529311,9.1727693,Bakery Magna
Mezzo,38,4.5,Corso Monforte. 27. 20122 Milano MI,45.467214,9.2018037,Lunch Ristorante Magna
Casa Bi Restaurant,38,4.2,Piazza Tre Torri. 20145 Milano MI,45.4788302,9.1575383,Italiano Ristorante.Pizza Ristorante Magna
Quartieri Spagnoli Milano,38,3.7,Corso Sempione. 82. 20154 Milano MI,45.4854852,9.1604265,Neapolitan Ristorante Magna
Burger Room,39,4.8,Via Principe Eugenio. 23. 20155 Milano MI,45.490108,9.1646106,Ristorante Magna
Bar del Corso,39,4.7,Corso di Porta Romana. 1. 20122 Milano MI,45.460295,9.1890509,Bar Magna
Waiting Bar,39,4.3,Piazza Caiazzo. 1. 20124 Milano MI,45.4857564,9.2094787,Bar Magna
Malli Sri Lankan Restaurant,40,4.7,Via Achille Bizzoni. 7. 20125 Milano MI,45.4950265,9.1982794,Ristorante Magna
3B - Burger Beer Bitter,40,4.7,Via Vigevano. 13. 20144 Milano MI,45.4528078,9.1742607,Vegan Ristorante.Hamburger Ristorante Magna
BioToBe,40,4.6,Via Adda. 3/n05. 20124 Milano MI,45.4830272,9.1985793,Vegetarian Ristorante.Vegan Ristorante Magna
